Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
rferguson@vizpainter.com,FALSE,5/31/2022,7/14/2022,Business,154,DAL-LGA,622,Randy Ferguson
rpölking@vizpainter.com,FALSE,6/17/2022,7/11/2022,Economy,124,DAL-OKC,625,Resi Pölking
rhansen@vizpainter.com,TRUE,9/14/2022,11/19/2022,First Class,268,DAL-SEA,632,Rick Hansen
rhuthwaite@vizpainter.com,FALSE,4/7/2022,7/28/2022,Economy,130,DAL-GRR,633,Rick Huthwaite
rbeeghly@vizpainter.com,FALSE,11/25/2022,12/19/2022,Business,121,DAL-SLC,637,Rob Beeghly
rbeeghly@vizpainter.com,FALSE,10/31/2022,12/19/2022,Business,135,DAL-HOU,637,Rob Beeghly
rdowd@vizpainter.com,FALSE,5/6/2022,5/31/2022,First Class,259,DAL-HOU,638,Rob Dowd
rhaberlin@vizpainter.com,FALSE,12/13/2022,12/28/2022,Business,155,DAL-OKC,639,Rob Haberlin
rhaberlin@vizpainter.com,FALSE,11/2/2022,12/28/2022,Economy,85,DAL-HOU,639,Rob Haberlin
rhaberlin@vizpainter.com,FALSE,11/19/2022,12/28/2022,Economy,110,DAL-OKC,639,Rob Haberlin
,FALSE,10/18/2022,11/23/2022,Economy,123,DAL-GRR,642,Robert Barroso
rwaldorf@vizpainter.com,FALSE,6/14/2022,7/31/2022,Economy,132,DAL-LAS,645,Robert Waldorf
rwaldorf@vizpainter.com,FALSE,5/21/2022,7/31/2022,Business,84,DAL-OKC,645,Robert Waldorf
rwaldorf@vizpainter.com,TRUE,4/15/2022,7/31/2022,Economy,105,DAL-HOU,645,Robert Waldorf
rwaldorf@vizpainter.com,FALSE,7/9/2022,7/31/2022,Economy,68,DAL-OKC,645,Robert Waldorf
rbarcio@vizpainter.com,FALSE,5/20/2022,7/9/2022,Economy,87,DAL-PHX,646,Roger Barcio
rbarcio@vizpainter.com,FALSE,6/27/2022,7/9/2022,Business,149,DAL-ATL,646,Roger Barcio
rcollins@vizpainter.com,TRUE,5/19/2022,6/15/2022,Economy,146,DAL-AMA,654,Roy Collins
rcollins@vizpainter.com,FALSE,5/23/2022,6/15/2022,Economy,147,DAL-HOU,654,Roy Collins
rcollins@vizpainter.com,FALSE,4/1/2022,6/15/2022,First Class,240,DAL-OKC,654,Roy Collins
rcollins@vizpainter.com,FALSE,4/23/2022,6/15/2022,Economy,65,DAL-PHX,654,Roy Collins
rcollins@vizpainter.com,FALSE,3/28/2022,6/15/2022,Economy,130,DAL-MDW,654,Roy Collins
rfranzösisch@vizpainter.com,TRUE,9/28/2022,11/21/2022,Economy,130,DAL-LGA,655,Roy Französisch
rphan@vizpainter.com,FALSE,11/27/2022,12/24/2022,Economy,139,DAL-LGA,656,Roy Phan
rskaria@vizpainter.com,FALSE,7/3/2022,9/23/2022,Economy,140,DAL-CLE,657,Roy Skaria
rskaria@vizpainter.com,FALSE,8/1/2022,9/23/2022,Economy,152,DAL-HOU,657,Roy Skaria
rapplegate@vizpainter.com,FALSE,9/27/2022,11/7/2022,First Class,308,DAL-ATL,660,Russell Applegate
rcrowe@vizpainter.com,TRUE,7/29/2022,8/27/2022,Economy,98,DAL-HOU,663,Ryan Crowe
smatthias@vizpainter.com,FALSE,9/8/2022,9/28/2022,First Class,289,DAL-PHX,666,Sally Matthias
smatthias@vizpainter.com,TRUE,10/23/2022,11/13/2022,Economy,136,DAL-HOU,666,Sally Matthias
smatthias@vizpainter.com,FALSE,10/2/2022,11/13/2022,Economy,77,DAL-HOU,666,Sally Matthias
smatthias@vizpainter.com,FALSE,8/19/2022,9/28/2022,Economy,122,DAL-ATL,666,Sally Matthias
sflanagan@vizpainter.com,FALSE,9/4/2022,10/3/2022,Economy,134,DAL-HOU,670,Sandra Flanagan
sglassco@vizpainter.com,FALSE,10/28/2022,12/5/2022,Economy,86,DAL-LAS,671,Sandra Glassco
sglassco@vizpainter.com,FALSE,7/26/2022,12/5/2022,First Class,225,DAL-HOU,671,Sandra Glassco
schand@vizpainter.com,FALSE,10/16/2022,12/2/2022,Economy,99,DAL-HOU,672,Sanjit Chand
sfoster@vizpainter.com,FALSE,10/17/2022,11/22/2022,Business,136,DAL-ATL,679,Sarah Foster
sfoster@vizpainter.com,FALSE,10/24/2022,11/22/2022,Economy,129,DAL-AUS,679,Sarah Foster
sfoster@vizpainter.com,FALSE,10/16/2022,11/22/2022,Economy,72,DAL-LAS,679,Sarah Foster
sfoster@vizpainter.com,FALSE,10/18/2022,11/22/2022,Business,118,DAL-SEA,679,Sarah Foster
scoram,FALSE,3/19/2022,3/30/2022,Business,143,DAL-MDW,681,Scot Coram
scoram,FALSE,4/10/2022,4/26/2022,Economy,103,DAL-HOU,681,Scot Coram
scoram,FALSE,3/28/2022,4/26/2022,Economy,157,DAL-MDW,681,Scot Coram
scoram,FALSE,3/27/2022,4/26/2022,Business,82,DAL-GRR,681,Scot Coram
swooten@vizpainter.com,FALSE,11/30/2022,12/13/2022,Business,80,DAL-AUS,682,Scot Wooten
swooten@vizpainter.com,FALSE,11/30/2022,12/13/2022,Business,140,DAL-SLC,682,Scot Wooten
swooten@vizpainter.com,FALSE,10/26/2022,12/13/2022,Business,147,DAL-ATL,682,Scot Wooten
smiller@vizpainter.com,FALSE,9/29/2022,10/29/2022,Economy,101,DAL-AUS,687,Sean Miller
scollister@vizpainter.com,FALSE,7/28/2022,9/2/2022,Economy,139,DAL-HOU,691,Shahid Collister
scollister@vizpainter.com,FALSE,7/19/2022,9/2/2022,Economy,148,DAL-ELP,691,Shahid Collister
jocampo@vizpainter.com,FALSE,3/27/2022,4/27/2022,Economy,109,DAL-HOU,369,Jesus Ocampo
jfjeld@vizpainter.com,FALSE,4/9/2022,6/11/2022,Economy,102,DAL-SEA,370,Jill Fjeld
jfjeld@vizpainter.com,TRUE,5/14/2022,6/11/2022,Economy,149,DAL-MDW,370,Jill Fjeld
jfjeld@vizpainter.com,TRUE,5/24/2022,6/11/2022,Business,161,DAL-ATL,370,Jill Fjeld
jmatthias@vizpainter.com,FALSE,4/2/2022,4/13/2022,Economy,135,DAL-AUS,371,Jill Matthias
jmatthias@vizpainter.com,FALSE,3/7/2022,4/13/2022,Economy,155,DAL-AMA,371,Jill Matthias
jmatthias@vizpainter.com,FALSE,4/4/2022,4/13/2022,Economy,62,DAL-ATL,371,Jill Matthias
jmatthias@vizpainter.com,FALSE,2/25/2022,4/13/2022,Economy,128,DAL-ELP,371,Jill Matthias
jstevenson@vizpainter.com,TRUE,3/24/2022,5/4/2022,Economy,104,DAL-HOU,372,Jill Stevenson
jepp@vizpainter.com,FALSE,1/19/2022,4/29/2022,Economy,121,DAL-HOU,373,Jim Epp
jepp@vizpainter.com,FALSE,4/6/2022,4/29/2022,Business,132,DAL-PHX,373,Jim Epp
jepp@vizpainter.com,FALSE,3/7/2022,4/29/2022,Economy,104,DAL-HOU,373,Jim Epp
jkarlsson@vizpainter.com,FALSE,3/16/2022,4/2/2022,Economy,104,DAL-HOU,374,Jim Karlsson
jkarlsson@vizpainter.com,FALSE,3/4/2022,4/2/2022,Economy,157,DAL-HOU,374,Jim Karlsson
jkarlsson@vizpainter.com,FALSE,11/24/2021,4/2/2022,Economy,106,DAL-AUS,374,Jim Karlsson
jkarlsson@vizpainter.com,TRUE,3/23/2022,4/2/2022,Business,103,DAL-OKC,374,Jim Karlsson
jkriz@vizpainter.com,FALSE,9/26/2022,12/16/2022,Business,141,DAL-PHX,375,Jim Kriz
jkriz@vizpainter.com,FALSE,11/2/2022,12/16/2022,First Class,287,DAL-ELP,375,Jim Kriz
jmitchum@vizpainter.com,FALSE,2/14/2022,4/21/2022,Economy,63,DAL-ELP,376,Jim Mitchum
jradford@vizpainter.com,FALSE,10/13/2022,11/1/2022,Economy,82,DAL-MDW,377,Jim Radford
jradford@vizpainter.com,FALSE,9/18/2022,11/1/2022,Economy,139,DAL-GRR,377,Jim Radford
jelijah@vizpainter.com,FALSE,5/16/2022,8/1/2022,Business,135,DAL-MDW,380,Joe Elijah
jkamberova@vizpainter.com,FALSE,11/26/2021,1/4/2022,Economy,147,DAL-HOU,381,Joe Kamberova
jdryer@vizpainter.com,FALSE,9/18/2022,12/12/2022,Economy,88,DAL-HOU,385,John Dryer
jgrady@vizpainter.com,FALSE,4/7/2022,5/23/2022,Economy,105,DAL-MDW,386,John Grady
jlucas@vizpainter.com,FALSE,9/27/2022,10/27/2022,Business,120,DAL-PHX,389,John Lucas
jmurray@vizpainter.com,FALSE,7/12/2022,9/21/2022,Economy,90,DAL-PHX,390,John Murray
jmurray@vizpainter.com,FALSE,8/23/2022,9/21/2022,Economy,138,DAL-ATL,390,John Murray
jmurray@vizpainter.com,FALSE,8/18/2022,9/21/2022,Economy,126,DAL-AUS,390,John Murray
jwasserman@vizpainter.com,FALSE,7/27/2022,10/1/2022,First Class,277,DAL-ATL,396,Joni Wasserman
jairdo@vizpainter.com,FALSE,10/13/2022,12/30/2022,Economy,64,DAL-AUS,397,Joseph Airdo
jbell-@vizpainter.com,TRUE,7/13/2022,9/11/2022,Economy,148,DAL-HOU,399,Joy Bell-
jbell-@vizpainter.com,FALSE,7/3/2022,9/11/2022,Economy,115,DAL-AMA,399,Joy Bell-
jsmith@vizpainter.com,FALSE,8/24/2022,9/11/2022,Economy,117,DAL-PHX,401,Joy Smith
jsmith@vizpainter.com,TRUE,8/14/2022,9/11/2022,Business,95,DAL-ATL,401,Joy Smith
jsmith@vizpainter.com,FALSE,9/21/2022,12/12/2022,Business,144,DAL-GRR,401,Joy Smith
jsmith@vizpainter.com,FALSE,11/6/2022,12/12/2022,Economy,148,DAL-ATL,401,Joy Smith
jdunbar@vizpainter.com,TRUE,3/24/2022,6/19/2022,Business,86,DAL-AUS,403,Julia Dunbar
jdunbar@vizpainter.com,FALSE,12/13/2021,1/3/2022,Economy,99,DAL-HOU,403,Julia Dunbar
jdunbar@vizpainter.com,FALSE,12/1/2021,1/3/2022,Economy,103,DAL-HOU,403,Julia Dunbar
jdunbar@vizpainter.com,FALSE,9/29/2021,1/3/2022,First Class,217,DAL-HOU,403,Julia Dunbar
jdunbar@vizpainter.com,FALSE,12/4/2021,1/3/2022,Economy,93,DAL-HOU,403,Julia Dunbar
jwest@vizpainter.com,TRUE,10/30/2022,11/18/2022,Economy,113,DAL-HOU,404,Julia West
jkrohn@vizpainter.com,FALSE,2/15/2022,6/2/2022,Business,81,DAL-AUS,405,Juliana Krohn
jkrohn@vizpainter.com,FALSE,5/17/2022,6/2/2022,Economy,92,DAL-LAS,405,Juliana Krohn
jcreighton@vizpainter.com,TRUE,7/23/2022,9/6/2022,Economy,157,DAL-OKC,406,Julie Creighton
jcreighton@vizpainter.com,FALSE,7/28/2022,9/6/2022,Economy,124,DAL-ATL,406,Julie Creighton
jcreighton@vizpainter.com,TRUE,5/26/2022,6/6/2022,Economy,143,DAL-AUS,406,Julie Creighton
jprescott@vizpainter.com,FALSE,10/17/2022,12/31/2022,First Class,227,DAL-HOU,408,Julie Prescott
jdeggeller@vizpainter.com,FALSE,4/15/2022,5/4/2022,Economy,145,DAL-OKC,409,Justin Deggeller
jellison@vizpainter.com,FALSE,8/29/2022,9/28/2022,Economy,110,DAL-HOU,410,Justin Ellison
jellison@vizpainter.com,FALSE,8/8/2022,9/28/2022,Economy,85,DAL-AUS,410,Justin Ellison
jmackendrick@vizpainter.com,FALSE,5/9/2022,6/30/2022,Economy,103,DAL-LAS,412,Justin MacKendrick
jmackendrick@vizpainter.com,FALSE,5/29/2022,7/22/2022,Economy,90,DAL-LAS,412,Justin MacKendrick
jmackendrick@vizpainter.com,TRUE,6/8/2022,6/30/2022,Business,120,DAL-AUS,412,Justin MacKendrick
kbern@vizpainter.com,FALSE,10/21/2022,12/16/2022,Economy,66,DAL-LGA,415,Karen Bern
kcarlisle@vizpainter.com,FALSE,6/19/2022,7/18/2022,Economy,92,DAL-PHX,416,Karen Carlisle
kferguson@vizpainter.com,FALSE,7/3/2022,8/6/2022,Economy,76,DAL-OKC,418,Karen Ferguson
kferguson@vizpainter.com,FALSE,6/20/2022,8/6/2022,Economy,102,DAL-GRR,418,Karen Ferguson
kferguson@vizpainter.com,FALSE,7/9/2022,8/6/2022,Economy,124,DAL-PHX,418,Karen Ferguson
kferguson@vizpainter.com,FALSE,7/26/2022,8/6/2022,Economy,89,DAL-PHX,418,Karen Ferguson
kseio@vizpainter.com,FALSE,10/22/2022,11/13/2022,Economy,95,DAL-OKC,419,Karen Seio
kseio@vizpainter.com,FALSE,9/11/2022,11/13/2022,Economy,145,DAL-HOU,419,Karen Seio
kbraun@vizpainter.com,FALSE,10/9/2022,11/5/2022,Economy,61,DAL-AMA,420,Karl Braun
kbraun@vizpainter.com,TRUE,8/13/2022,11/5/2022,Economy,159,DAL-PHX,420,Karl Braun
schance@vizpainter.com,FALSE,7/6/2022,9/20/2022,Economy,126,DAL-OKC,695,Shaun Chance
schance@vizpainter.com,FALSE,9/6/2022,9/20/2022,Business,137,DAL-LAS,695,Shaun Chance
schance@vizpainter.com,TRUE,8/18/2022,9/20/2022,Economy,67,DAL-ATL,695,Shaun Chance
sdaniels@vizpainter.com,TRUE,7/2/2022,7/23/2022,Business,83,DAL-LGA,698,Shirley Daniels
sjackson@vizpainter.com,FALSE,8/5/2022,9/23/2022,Economy,120,DAL-AUS,699,Shirley Jackson
stom@vizpainter.com,FALSE,2/25/2022,4/21/2022,First Class,259,DAL-ELP,701,Shui Tom
stom@vizpainter.com,FALSE,2/25/2022,4/14/2022,Economy,142,DAL-HOU,701,Shui Tom
stom@vizpainter.com,FALSE,3/14/2022,4/14/2022,Economy,60,DAL-PHX,701,Shui Tom
snorling@vizpainter.com,FALSE,7/4/2022,7/17/2022,Economy,151,DAL-ELP,703,Skye Norling
snorling@vizpainter.com,FALSE,5/30/2022,7/17/2022,Economy,78,DAL-ATL,703,Skye Norling
snorling@vizpainter.com,FALSE,6/17/2022,7/17/2022,First Class,241,DAL-ELP,703,Skye Norling
snorling@vizpainter.com,FALSE,6/28/2022,7/17/2022,Economy,82,DAL-HOU,703,Skye Norling
snorling@vizpainter.com,FALSE,5/13/2022,7/17/2022,Economy,99,DAL-MDW,703,Skye Norling
snorling@vizpainter.com,FALSE,6/24/2022,7/17/2022,Economy,73,DAL-HOU,703,Skye Norling
sgoranitis@vizpainter.com,FALSE,6/26/2022,9/1/2022,Business,118,DAL-SLC,706,Speros Goranitis
sgoranitis@vizpainter.com,FALSE,6/18/2022,9/1/2022,Economy,75,DAL-AUS,706,Speros Goranitis
sgoranitis@vizpainter.com,FALSE,8/7/2022,9/1/2022,First Class,299,DAL-ELP,706,Speros Goranitis
sgoranitis@vizpainter.com,FALSE,6/14/2022,9/1/2022,Economy,159,DAL-AUS,706,Speros Goranitis
sgoranitis@vizpainter.com,FALSE,8/15/2022,9/1/2022,Economy,151,DAL-HOU,706,Speros Goranitis
sgoranitis@vizpainter.com,FALSE,5/28/2022,9/1/2022,Economy,125,DAL-PHX,706,Speros Goranitis
sgoranitis@vizpainter.com,FALSE,4/9/2022,6/18/2022,Economy,85,DAL-AUS,706,Speros Goranitis
